t,x,y
1.920000E1,2.017498E0,9.696556E-2
1.923333E1,2.010556E0,8.426023E-2
1.926667E1,2.001818E0,7.152070E-2
1.930000E1,1.989454E0,6.050827E-2
1.933333E1,1.984307E0,4.783714E-2
1.936667E1,1.981127E0,2.622269E-2
1.940000E1,1.974252E0,9.926356E-3
1.943333E1,1.965377E0,4.368844E-3
1.946667E1,1.956932E0,-1.760870E-2
1.950000E1,1.945191E0,-3.874953E-2
1.953333E1,1.937973E0,-5.702220E-2
1.956667E1,1.929643E0,-7.753231E-2
1.960000E1,1.925465E0,-9.169570E-2
1.963333E1,1.917213E0,-1.049756E-1
1.966667E1,1.912857E0,-1.263426E-1
1.970000E1,1.909464E0,-1.460906E-1
1.973333E1,1.903560E0,-1.674775E-1
1.976667E1,1.897311E0,-1.896335E-1
1.980000E1,1.887546E0,-2.112601E-1
1.983333E1,1.879705E0,-2.354580E-1
1.986667E1,1.877400E0,-2.576631E-1
1.990000E1,1.876265E0,-2.804252E-1
1.993333E1,1.870708E0,-2.986850E-1
1.996667E1,1.864699E0,-3.131658E-1
2.000000E1,1.867836E0,-3.364513E-1
2.003333E1,1.861666E0,-3.629721E-1
2.006667E1,1.856855E0,-3.846054E-1
2.010000E1,1.852592E0,-4.012142E-1
2.013333E1,1.844077E0,-4.267132E-1
2.016667E1,1.838180E0,-4.487420E-1
2.020000E1,1.837368E0,-4.664495E-1
2.023333E1,1.836989E0,-4.840407E-1
2.026667E1,1.837290E0,-5.049932E-1
2.030000E1,1.841611E0,-5.266349E-1
2.033333E1,1.838939E0,-5.502201E-1
2.036667E1,1.842802E0,-5.707291E-1
2.040000E1,1.842152E0,-5.966837E-1
2.043333E1,1.844171E0,-6.232788E-1
2.046667E1,1.842466E0,-6.513556E-1
2.050000E1,1.842353E0,-6.772908E-1
2.053333E1,1.851064E0,-6.893285E-1
2.056667E1,1.844189E0,-7.056248E-1
2.060000E1,1.848157E0,-7.253069E-1
2.063333E1,1.844908E0,-7.433304E-1
2.066667E1,1.847691E0,-7.623362E-1
2.070000E1,1.848914E0,-7.878961E-1
2.073333E1,1.853180E0,-8.187834E-1
2.076667E1,1.855207E0,-8.460794E-1
2.080000E1,1.839402E0,-8.638755E-1
2.083333E1,1.830201E0,-8.839366E-1
2.086667E1,1.831201E0,-9.017817E-1
2.090000E1,1.831619E0,-9.112612E-1
2.093333E1,1.837037E0,-9.218566E-1
2.096667E1,1.842383E0,-9.306523E-1
2.100000E1,1.846036E0,-9.288533E-1
2.103333E1,1.844682E0,-9.283222E-1
2.106667E1,1.845334E0,-9.279169E-1
2.110000E1,1.844280E0,-9.278099E-1
2.113333E1,1.844220E0,-9.270626E-1
2.116667E1,1.842028E0,-9.248673E-1
2.120000E1,1.839948E0,-9.145748E-1
2.123333E1,1.831685E0,-9.091749E-1
2.126667E1,1.823864E0,-9.045728E-1
